Member Committee Vice President,I believe in AIESEC's mission.,My direct team leader is a great role model for AIESECers.,We foster an inclusive environment within the team.,I enjoy doing my work and am empowered to do my best here.,I feel empowered to take on further leadership development experiences.,My team is capable of balancing short term outcomes and long term gains.,I've had the space to learn by practicing some of the activities in my job description with my team leader's assistance in the beginning of our term.,"Our team working times are the perfect moments for us to synergize, solve common problems, and learn from each other so we become more productive.",My accomplishments are recognized by others in the organization.,My team has a routine to hold myself and others accountable for our results.,I have a clear and challenging goal that contributes to the success of our team.,"I understand the current state of my team (facts and data) every month, I understand what we want to achieve as a team by the end of the term, and I understand what we need to improve to achieve it.",My job performance and behavior are evaluated fairly.,"I have reviewed my personal development plan with my direct team leader, it helps me to understand my current achievement, gaps, and ways forward.",My direct team leader provides me spaces to develop my leadership qualities.,My team has team meetings to keep everyone aware of relevant information with clear calls to action.,My team leader provides me a one-to-one space monthly to review how am I doing (personally and in AIESEC) and find the scope for improvement.,I am more eager to work because I'm able to connect to my team.,My team leader and teammates give valuable feedback on my work that helps me to improve.,# Responses
Argentina,5,4.46,4.69,4.69,4.46,3.92,3.69,4.15,3.69,4.38,4.92,4.62,4.46,3.31,3.46,4,3.08,4.15,4.62,13
Bolivia,4.75,3.25,3.75,4.5,4.5,3.25,3.5,3.5,3,4.25,4.75,4.5,4.25,3.5,3.5,4.5,3.75,3.75,4.25,4
Brazil,5,4.2,4.8,4.8,4.8,4.2,4.4,4.2,4.2,4.8,5,4.6,4.6,4.2,4.4,5,4.6,5,4,5
Canada,4.75,4.5,4.25,3.75,3.5,3.75,3.75,4,4.25,4.5,4.5,4.75,4.25,2,2.75,5,1.75,3.5,4.5,4
Chile,4.71,3.14,3.57,4.43,3.86,3.29,3.71,3.57,3.86,4.29,4,4,3.86,2.71,2.86,4.43,3.43,3,3.71,7
Colombia,4.6,4.4,4.8,4.4,4.6,3.2,4.2,3.8,4.2,3.8,4,4.8,4,4.6,4.2,4.4,4.6,4.4,4.4,5
Costa Rica,5,4.5,4.5,4.5,4.5,3.75,3.75,4.25,4.25,3,4.75,4.5,4,3,3.25,4.75,4.75,4.25,4.5,4
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,4.88,4.75,4.63,4.63,4.38,4.38,4.88,4.75,3.75,4.63,5,4.75,4.63,4.5,4.5,4.63,4.88,4.25,4,8
El Salvador,5,4.67,4.67,5,4.67,3.33,4,3.33,3.67,4.33,4.33,3.67,4.33,4,4,4.33,4,4,4.33,3
Guatemala,4.83,4.33,4.33,4.5,4.67,4.33,4.17,4.33,3.83,4.5,4.5,4.5,4.67,4.5,4.5,4.67,4.83,4.5,4.33,6
Mexico,4.77,4.23,4.77,4.62,4.38,4.62,3.92,4.38,4.46,4.54,4.85,4.77,4.46,3.62,3.46,4.62,3.23,4.46,4.38,13
Nicaragua,4.5,3,3.5,4.5,4.5,3,2.5,2,2.5,3.5,4.5,4,3,1,2,4.5,3,3.5,3.5,2
Panama,4.67,4.17,4.25,4.83,4.92,4.33,4.17,4.17,3.58,4.17,4.42,4.58,4.33,3.25,3.33,4.33,3.42,4.42,4,12
Paraguay,4.67,3.33,4.67,4.67,4.67,3.33,3.67,3.67,4.33,5,5,4,4,1.67,2.67,5,3.33,4,4,3
Peru,4.86,4.5,4.43,4.36,4.43,3.93,4.14,4.29,4.07,3.71,4.43,4.36,4.14,4.21,4.21,4.29,4.14,4.29,4,14
Puerto Rico,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1
United States,4.78,3.44,3.44,3.89,3.33,2.67,3.67,3.11,3.78,3.56,4.33,4.22,4.22,1.67,2.56,4.22,4.33,3,3.22,9
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,4.25,2.88,3,4.25,3.63,3,3.13,2.88,3.75,3.13,4.13,3.5,3.5,3.5,3,3.38,3.38,2.88,2.75,8
Afghanistan,4.5,4,4,5,5,3,4,4.5,4,4.5,3.5,4.5,4.5,4,4,4,4,4.5,4,2
Australia,4.83,4.17,4,3.83,3.5,3.5,4.17,3.5,3.5,4,4.83,4.67,4.67,3.5,4.17,4.67,4.67,3.83,3.83,6
Bangladesh,4,3,5,3,3,5,4,3,2,4,5,4,4,1,2,3,2,2,2,1
Cambodia,4.75,5,4.5,4.75,4.5,4.5,4.75,4.5,4.25,5,4.75,4.75,4.5,4.5,4.5,4.5,4.75,4.75,4.75,4
China Mainland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,4.25,4.25,4.25,4.75,4.25,3.75,3.75,3.5,3.75,4.5,4.75,4.25,4,4,3.5,4.5,3.75,4.5,4,4
India,4.83,3.5,3.33,3.5,4,2.83,3,3.5,3.5,3,3.83,4.17,3.67,2,3.17,3.83,2.33,2.17,3.83,6
Indonesia,5,4,3,3.67,4.33,2.67,3.67,3.33,4,3.33,3.33,4,3.67,3.33,3,3.67,2.67,3,3,3
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,5,3.67,4,4.33,3.67,3.67,3.33,3.67,4.33,3.67,4.67,4.33,3.67,3.67,3.33,4,3.33,4.33,4.33,3
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,4.8,4.9,4.6,4.8,4.5,4.7,4.4,4.7,4.7,4.8,4.8,4.6,4.9,4.4,4.6,4.9,4.5,4.6,4.7,10
Mongolia,4.6,4.2,3.6,4,3.8,3.6,4,2.4,3.6,3.2,3.4,3,3.4,3.4,4.2,3.6,3,2.6,3.4,5
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,4,3.5,4,4,4,3.5,4,3.5,4,4,4,4,4,4,4,4.5,4.5,4.5,4.5,2
New Zealand,4,2,2,4,1,2,1,3,4,5,5,4,5,4,2,5,5,1,4,1
Pakistan,4.5,3.25,3.25,3.25,3,3.25,3.25,2.5,2.5,2.5,3.25,3.25,3.25,3.25,3,3,2.75,2.25,2.25,4
Philippines,5,4.67,4.67,4.67,4.67,4,4.17,4,4.17,4.17,4.67,4.67,4.33,3.67,4.33,4.67,4.17,4.83,4.33,6
Singapore,4.5,4.25,4.5,4.5,4.75,4,4.25,4.25,3.5,4.5,4.75,4.75,4.5,4.75,4.5,5,4.75,4.75,5,4
Sri Lanka,4.92,4.42,4.33,4.42,4.58,4.25,4.5,3.92,4.08,4.17,4.58,4.67,3.83,3.75,4.25,4.42,3.75,4.42,4.42,12
Taiwan,4.5,4.5,4.25,4.25,4.5,3.25,3.75,3.25,3.75,4,4,3.75,3.5,3.5,4,4.25,2.75,3.75,4.25,4
Thailand,5,3.4,3.8,3.8,4.4,3,2.2,3.4,3.2,3.6,3.8,3.8,3.8,3,2.8,4,3.8,3.4,3.8,5
Vietnam,5,3.33,4,4,4,4.33,3,3,3.33,3.67,4.33,4,3.67,3,2.67,3.67,3,3,2.67,3
Albania,5,3.5,2.5,3.5,3,3,4,4,4,3.5,4.5,4.5,4,2,2.5,4,3.5,3.5,4.5,2
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,4,4,4,5,5,3,3,3,5,5,4,5,5,2,2,5,5,4,4,1
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,4.57,4.14,4,4,4,3,3.57,3.14,3,3.43,4.29,4.14,3.57,3.29,3.43,4,3.57,3.29,3.57,7
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,5,2.6,2.4,3.8,3,2.2,2.2,3.2,2.8,3.2,4.4,3.6,3.2,1.2,2.2,4.4,2.4,3.4,2.8,5
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,5,4.6,4,4.2,4,3.6,3,3.4,3.2,4.6,4.6,3.8,4.4,3.6,3.6,4.8,4.6,3.6,3.4,5
Denmark,4.6,4.2,3.8,3.6,3.6,3,3.4,4.2,3.2,4,4.4,4,3.8,2.4,3.2,4.2,4,3.8,3.6,5
Estonia,5,4,4,4,4,4,4,3,3,3,4,4,4,2,2,3,2,3,3,1
Finland,5,4.67,4.83,4.67,4.17,4.33,4.67,5,4.17,4.33,4.83,5,4.33,3.5,3.83,5,3.5,4.83,4.67,6
France,4.6,4.4,4.6,4.6,4.4,3.4,3.4,4,3.4,4,4.2,4.2,4,3.4,3,4.2,3,4,4.2,5
Georgia,5,3.33,3.5,4.67,3.83,3.67,3.67,3.67,3.33,3,4.83,4.17,4,3,2.67,4.17,3.83,3.33,3.83,6
Germany,4.82,3.91,3.45,4,3.82,3,2.91,2.64,3.36,3.18,4.18,4.09,3.55,2.18,3,4.18,2.82,3,2.82,11
Greece,4.83,3.17,2.67,3.5,3.17,2.67,4.17,2.83,2.83,2.67,4.83,4,4,3.17,3.5,4.67,4.17,2.83,3.33,6
Hungary,4.56,4.11,3.56,4.11,3.89,3.44,3.56,3.22,2.89,4.33,4.33,4.67,4.11,3.33,3.67,4.67,4.33,2.67,4.11,9
Iceland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,4.5,4.67,4.67,4.67,4.5,4.17,3.5,4.17,4.83,4.83,4.67,4.67,4.83,4.17,4.17,5,4,4.5,4.67,6
Kazakhstan,5,4,4.33,4.33,4.67,4,4,4,4.67,4.33,4.67,4.67,4.33,3.67,4,4,4.33,4.33,4.33,3
Kyrgyzstan,5,5,4.5,5,4.5,4,4.5,4.5,3.5,4.5,5,4.5,4.5,4,4,5,5,5,4,2
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,4.75,3.5,3.5,4,4.25,3.5,3.25,3.75,3,4.5,4.75,4.5,4.75,4.5,3.75,5,5,3,4,4
Macedonia,5,2,2,3,3,3,3,2,3,2,4,5,3,2,3,3,2,2,3,1
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,5,4,4,5,4,3,4,4,3,4,4.5,4,3.5,4,3.5,4.5,4,4,4.5,2
Montenegro,5,3,4,4,5,3,1,2,4,3,4,4,4,1,3,4,2,1,3,1
Norway,4,4.33,4,4.33,3.33,3,3.67,3.33,4,4,4.67,4,4,3,3,4.67,3.67,3.33,4,3
Poland,4.94,3.53,3.88,4.12,4.06,3.65,3.06,3.41,3.65,3.59,4.35,4,4.18,3.82,3.47,4.35,4.29,3.47,4,17
Portugal,5,3.67,4.22,4.56,3.67,3.89,3.89,4,4.44,4.67,4.89,4.89,4.56,4.11,4.44,4.89,4.89,3.89,3.89,9
Romania,4.89,4.56,3.89,3.67,4,3.44,3.56,3.56,3.89,4.44,4.78,4.89,4.56,3.22,3.78,4.78,4.22,3.67,4,9
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,4.4,5,4.8,5,3.2,4.8,5,4.6,4.4,5,5,5,5,4.6,5,5,4.8,5,5,5
Slovakia,4.17,4.33,4.17,4,3.5,3.67,3.5,4.17,3.83,4.5,4.33,4.67,4.5,4.33,4,5,3.83,4,3.83,6
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,5,3.75,4.5,4.13,3.75,2.63,2.88,3.25,3.25,4,4.25,4.5,3.5,3.13,3,4.13,4,3.75,4.13,8
Sweden,5,4,4,4.67,4.33,3.67,4,3,3.67,4,5,4.33,4.67,2,3,4.33,2.33,3.33,4,3
Switzerland,5,4.33,3.67,3.33,3.33,3.33,3.33,2.67,3,2.67,3.67,4.33,3.67,2.67,4,4.67,3.33,3.33,2.67,3
The Netherlands,4.75,4,4.38,4.63,4.88,3.5,3.13,3.13,3.38,3.38,4.38,4.5,4.13,3.25,3.5,4,3.5,4.25,3.75,8
Turkey,4.73,4.47,4.07,4.53,4.67,4.33,4.33,4.2,4.2,4.2,4.53,4.67,4.47,4.27,4.4,4.73,4.13,4.4,4.33,15
Ukraine,4.38,3.63,3.88,4.13,3.63,3.75,3.75,3.88,4.13,4.5,4.88,4.75,4.38,3.25,3.13,4.63,4.25,4.13,4.13,8
United Kingdom,4,3,3,3.67,3.33,2.67,3,2.67,3,3.33,4.33,4,3.33,1.67,2.67,4.33,4.33,2.33,3,3
Algeria,4.86,4.57,4.29,5,4.71,4.29,4.43,4.14,3.71,4.29,4.71,4.71,4.43,4.14,4,4.14,3.71,4.29,4,7
Bahrain,4.86,3.86,3.57,4.29,4.86,3.57,3.43,3.57,4.14,3.57,4.57,5,4.29,2.71,3.71,4.57,4,3.71,3.86,7
Benin,5,4.17,4.33,4.67,4.67,4.33,4.17,4.17,4.33,4.5,4.67,4.67,4.5,3.83,4.5,4.5,4.5,4.17,4.17,6
Burkina Faso,5,4,3,5,4,4,4,3,3,3,3,4,4,4,3,3,1,2,2,1
Cameroon,5,4,3.67,5,5,4.33,2.67,3.33,5,3.67,5,4.67,4,2.67,4.33,4,2.33,3,3,3
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote D'Ivoire,4.78,4.11,4.33,4.44,4.56,4.11,4.33,4.44,4.33,3.67,4.22,4.44,3.78,3.33,4.22,3.56,3.67,3.78,4.11,9
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,4,3,2,3,4,2,3,2,4,2,4,4,3,1,1,2,1,2,2,1
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,4.63,4.13,4.13,4.13,4.13,3.63,4.13,3.88,3.63,4.38,4.38,4.25,3.88,3.38,4,4.38,3.5,3.5,3.88,8
Jordan,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,1
Kenya,4.75,3.75,3.75,3.5,3.75,2.5,2.5,1.75,2.5,2.5,4.25,2.75,3.75,1.75,2.5,4,1.5,3,3.25,4
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,4.5,4.5,4,4,3.5,3.5,3,2.5,3.5,2,3.5,4.5,3.5,1.5,3,4.5,1.5,3.5,3.5,2
Liberia,4.75,4.5,3.5,4.5,4.75,4,4.25,3.5,3.75,4.5,4.75,4.5,4,4.25,4.25,3.25,4.5,4.25,3.75,4
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,4.75,2.75,3.5,4.25,3.25,3.75,3.5,3.75,4,4,4.75,4.75,3.75,3.5,2.75,4.75,4.75,3.25,4,4
Morocco,4.88,4.69,4.75,4.81,4.75,4.69,4.44,4.38,4.5,4.5,4.75,4.75,4.5,4.5,4.63,4.56,4.31,4.63,4.63,16
Mozambique,5,4.8,4.4,4.6,4.4,4.4,5,4.6,4.4,4.4,5,5,4.4,4.4,4.6,4.6,4.6,4.6,4,5
Namibia,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1
Nigeria,5,4.2,4.2,4.4,4.8,4.2,4.2,4.2,4.4,4,4.6,4,4.4,3.2,4.2,3.8,2.8,3.8,4.2,5
Oman,4.33,3.67,4.33,3.67,3.67,3.67,4,4,4,3.67,3.67,4.67,4,3.33,4.33,4.33,4,3.67,4.67,3
Rwanda,4.75,4.25,3.75,4.75,5,3.75,4,4.25,3.75,3.5,3.5,4.25,3.5,3.25,3.5,4.25,3.25,3.75,3.5,4
Senegal,4.5,3.5,3.5,4.25,3.75,3.5,4.25,3.75,3.75,3.75,4.5,3.25,3.25,3.5,3,4,3,3.5,3.75,4
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,5,5,3.67,4,4.33,4,5,3,4.33,3.67,4.33,4,4.33,2.67,4.33,5,2.67,3,4.67,3
Tanzania,4.83,3.83,3.67,3.67,4.33,4.17,4.17,3.83,3.83,4,4.17,3.67,3.67,3.33,3.5,4.17,3.17,3.67,4,6
Togo,4.25,3.75,3.5,4.25,4.25,4,3.75,3.75,4,3.25,4,4,4,4,3.5,3.75,3.25,3.75,3.5,4
Tunisia,4.56,3.33,3.11,3.78,4,3.33,3,3.11,3.56,2.89,3.56,3.22,3.44,2.22,3,3.78,3.22,3.67,3.11,9
Uganda,4.67,4.67,4.67,4.67,4.67,4,4.33,4,4,4.67,4.67,5,4.33,3,3.33,4.67,3.67,4,4,3
United Arab Emirates,5,5,4.5,4.5,4,4,5,4,4,3.5,4.5,4.5,3.5,2.5,3,5,3,4.5,5,2